央视频道,#genre#
CCTV1,http://150.138.8.143:80/00/SNM/CHANNEL00000311/index.m3u8
CCTV2,http://150.138.8.143:80/00/SNM/CHANNEL00000317/index.m3u8
CCTV3,http://150.138.8.143:80/00/SNM/CHANNEL00000359/index.m3u8
CCTV4,http://150.138.8.143:80/00/SNM/CHANNEL00000320/index.m3u8
CCTV5,http://150.138.8.143:80/00/SNM/CHANNEL00000360/index.m3u8
CCTV5+,http://150.138.8.143:80/00/SNM/CHANNEL00000316/index.m3u8
CCTV6,http://150.138.8.143:80/00/SNM/CHANNEL00000361/index.m3u8
CCTV7,http://150.138.8.143:80/00/SNM/CHANNEL00000318/index.m3u8
CCTV8,http://150.138.8.143:80/00/SNM/CHANNEL00000362/index.m3u8
CCTV9,http://150.138.8.143:80/00/SNM/CHANNEL00000319/index.m3u8
CCTV10,http://150.138.8.143:80/00/SNM/CHANNEL00000321/index.m3u8
CCTV11,http://150.138.8.143:80/00/SNM/CHANNEL00000344/index.m3u8
CCTV12,http://150.138.8.143:80/00/SNM/CHANNEL00000322/index.m3u8
CCTV13,http://150.138.8.143:80/00/SNM/CHANNEL00000345/index.m3u8
CCTV14,http://150.138.8.143:80/00/SNM/CHANNEL00000323/index.m3u8
CCTV15,http://150.138.8.143:80/00/SNM/CHANNEL00000346/index.m3u8
CCTV17,http://150.138.8.143:80/00/SNM/CHANNEL00000303/index.m3u8
CCTV4欧洲,http://150.138.8.143:80/00/SNM/CHANNEL00000350/index.m3u8
CCTV4美洲,http://150.138.8.143:80/00/SNM/CHANNEL00000351/index.m3u8
CGTN,http://150.138.8.143:80/00/SNM/CHANNEL00000352/index.m3u8
CGTN俄语,http://150.138.8.143:80/00/SNM/CHANNEL00000357/index.m3u8
CGTN法语,http://150.138.8.143:80/00/SNM/CHANNEL00000355/index.m3u8
CGTN纪录,http://150.138.8.143:80/00/SNM/CHANNEL00000353/index.m3u8
CGTN西语,http://150.138.8.143:80/00/SNM/CHANNEL00000354/index.m3u8
CGTN阿语,http://150.138.8.143:80/00/SNM/CHANNEL00000356/index.m3u8
CCTV4K,http://150.138.8.143:80/00/SNM/CHANNEL00000382/index.m3u8
中国教育1,http://150.138.8.143:80/00/SNM/CHANNEL00000076/index.m3u8
中国教育4,http://150.138.8.143:80/00/SNM/CHANNEL00000666/index.m3u8
中国教育2 576,http://150.138.8.143:80/00/SNM/CHANNEL00000077/index.m3u8
中国教育4 576,http://150.138.8.143:80/00/SNM/CHANNEL00000070/index.m3u8



星空卫视国际台,rtsp://150.138.8.132/PLTV/88888888/224/3221227426/517077244.smil
澳门澳视卫星,rtsp://150.138.8.132/PLTV/88888888/224/3221227295/517077830.smil

卫视频道,#genre#
浙江卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000305/index.m3u8
湖南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000304/index.m3u8
北京卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000302/index.m3u8
安徽卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000328/index.m3u8
天津卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000327/index.m3u8
东方卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000309/index.m3u8
重庆卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000341/index.m3u8
深圳卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000308/index.m3u8
广东卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000307/index.m3u8
辽宁卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000326/index.m3u8
黑龙江卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000306/index.m3u8
东南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000310/index.m3u8
陕西卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000029/index.m3u8
海南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000347/index.m3u8
湖北卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000325/index.m3u8
山西卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000032/index.m3u8
四川卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000348/index.m3u8
河北卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000330/index.m3u8
江西卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000335/index.m3u8
吉林卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000363/index.m3u8
河南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000358/index.m3u8
广西卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000038/index.m3u8
云南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000039/index.m3u8
内蒙古卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000040/index.m3u8
贵州卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000329/index.m3u8
青海卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000042/index.m3u8
宁夏卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000043/index.m3u8
新疆卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000044/index.m3u8
西藏卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000045/index.m3u8
甘肃卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000349/index.m3u8
山东卫视,http://150.138.8.143:80/00/SNM/CHANNEL10000301/index.m3u8
金鹰卡通,http://150.138.8.143:80/00/SNM/CHANNEL00000047/index.m3u8
卡酷少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000048/index.m3u8
优漫卡通,http://150.138.8.143:80/00/SNM/CHANNEL00000049/index.m3u8
炫动卡通,http://150.138.8.143:80/00/SNM/CHANNEL00000050/index.m3u8

收费频道,#genre#
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL00000365/index.m3u8
CHC动作电影,http://150.138.8.143:80/00/SNM/CHANNEL00002030/index.m3u8
CHC家庭影院,http://150.138.8.143:80/00/SNM/CHANNEL00002028/index.m3u8
CHC影迷电影,http://150.138.8.143:80/00/SNM/CHANNEL00002029/index.m3u8
求索纪录,http://150.138.8.143:80/00/SNM/CHANNEL00000667/index.m3u8
华数精彩影视,http://150.138.8.143:80/00/SNM/CHANNEL00002012/index.m3u8
上海纪实人文,http://150.138.8.143:80/00/SNM/CHANNEL00000333/index.m3u8
湖南金鹰纪实,http://150.138.8.143:80/00/SNM/CHANNEL00000334/index.m3u8
湖南金鹰卡通,http://150.138.8.143:80/00/SNM/CHANNEL00002027/index.m3u8
湖南快乐垂钓,http://150.138.8.143:80/00/SNM/CHANNEL00000648/index.m3u8
湖南茶,http://150.138.8.143:80/00/SNM/CHANNEL00000649/index.m3u8
北京纪实科教,http://150.138.8.143:80/00/SNM/CHANNEL00000332/index.m3u8
北京卡酷少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000661/index.m3u8
河南文物宝库,http://150.138.8.143:80/00/SNM/CHANNEL00000658/index.m3u8
